source_id,specimen_id,matrix_id,additive_id,additive_fraction_dry,firing_temperature_C,property,value,unit,replicate_id,file,sheet,cell,evidence_status
30156127,mix:R-P2-ED,R,SSA-P2-ED,0.3,,mixture_xrf_Al2O3,11.528599999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L31,source_derived
30156127,mix:R-P2-ED,R,SSA-P2-ED,0.3,,mixture_xrf_SiO2,55.1798,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L32,source_derived
30156127,mix:R-P2-ED,R,SSA-P2-ED,0.3,,mixture_xrf_P2O5,4.4799,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L33,source_derived
30156127,mix:R-P2-ED,R,SSA-P2-ED,0.3,,mixture_xrf_K2O,2.5929,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L34,source_derived
30156127,mix:R-P2-ED,R,SSA-P2-ED,0.3,,mixture_xrf_CaO,3.7295,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L35,source_derived
30156127,mix:R-P2-ED,R,SSA-P2-ED,0.3,,mixture_xrf_TiO2,0.9741,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L36,source_derived
30156127,mix:R-P2-ED,R,SSA-P2-ED,0.3,,mixture_xrf_MnO,0.09409999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L37,source_derived
30156127,mix:R-P2-ED,R,SSA-P2-ED,0.3,,mixture_xrf_Fe2O3,11.1265,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L38,source_derived
30156127,mix:R-P2-ED,R,SSA-P2-ED,0.3,,mixture_xrf_Total,99.99629999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L39,source_derived
30156127,mix:R-P2-A2P,R,unresolved:#0179,0.3,,mixture_xrf_Na2O,0.7375999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M29,identity_ambiguous
30156127,mix:R-P2-A2P,R,unresolved:#0179,0.3,,mixture_xrf_MgO,1.9775999999999998,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M30,identity_ambiguous
30156127,mix:R-P2-A2P,R,unresolved:#0179,0.3,,mixture_xrf_Al2O3,11.990899999999998,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M31,identity_ambiguous
30156127,mix:R-P2-A2P,R,unresolved:#0179,0.3,,mixture_xrf_SiO2,60.016099999999994,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M32,identity_ambiguous
30156127,mix:R-P2-A2P,R,unresolved:#0179,0.3,,mixture_xrf_P2O5,0.9602999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M33,identity_ambiguous
30156127,mix:R-P2-A2P,R,unresolved:#0179,0.3,,mixture_xrf_K2O,2.7105,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M34,identity_ambiguous
30156127,mix:R-P2-A2P,R,unresolved:#0179,0.3,,mixture_xrf_CaO,2.2082,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M35,identity_ambiguous
30156127,mix:R-P2-A2P,R,unresolved:#0179,0.3,,mixture_xrf_TiO2,1.0695,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M36,identity_ambiguous
30156127,mix:R-P2-A2P,R,unresolved:#0179,0.3,,mixture_xrf_MnO,0.0857,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M37,identity_ambiguous
30156127,mix:R-P2-A2P,R,unresolved:#0179,0.3,,mixture_xrf_Fe2O3,11.3341,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M38,identity_ambiguous
30156127,mix:R-P2-A2P,R,unresolved:#0179,0.3,,mixture_xrf_Total,100.00229999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,M39,identity_ambiguous
30157108,Y|Ref|1020|A,Y,,0.0,1020,dry_diameter_reading_1,18.66,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,C9,measured
30157108,Y|Ref|1020|A,Y,,0.0,1020,dry_diameter_reading_2,18.55,mm,A,public-data/30157108/DTU Data - Brick Pellet Production.xlsx,High and Diameter,D9,measured
