dt_s,time_s,solid_mol,product_gas_mol,carrier_mol,temperature_k,pressure_pa,internal_energy_j,temperature_error_bound_k,error_solid_mol,error_temperature_k,error_pressure_pa,error_energy_j,error_carbon_mol,error_nitrogen_mol,error_mass_kg,error_prefix_energy_j
0.015625,0.015625,0.009844965944066643,0.0001550340559333563,0.01,300.7682092842284,254199.83915467345,-23.473387854459705,2.846299166306756e-09,1.5740125591801046e-09,7.847444749131682e-06,0.04599289540783502,0.0,0.0,0.0,0.0,0.0
0.015625,0.03125,0.0096923354439832,0.00030766455601679784,0.01,301.533812457011,258673.30830207828,-23.473387854459705,2.8212322686609155e-09,3.0992197593004978e-09,1.5640735625765956e-05,0.09111295532784425,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.015625,0.046875,0.009542071236448466,0.0004579287635515322,0.01,302.2967297857003,263104.2830948005,-23.473387854459705,2.796155152541827e-09,4.576756583093977e-09,2.3377443426397804e-05,0.1353697266895324,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.015625,0.0625,0.009394136635869304,0.0006058633641306943,0.01,303.05688274940945,267493.07208104455,-23.473387854459705,2.7711794505809457e-09,6.0077345459541576e-09,3.10551892539479e-05,0.17877255694475025,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.015625,0.078125,0.009248495525404209,0.0007515044745957897,0.01,303.81419406758636,271839.97902969026,-23.473387854459705,2.746286768911983e-09,7.393242160841362e-09,3.867164571147441e-05,0.2213306042831391,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.015625,0.09375,0.009105112348145717,0.0008948876518542809,0.01,304.5685877274428,276145.30314314185,-23.473387854459705,2.7214378092160102e-09,8.73434537543294e-09,4.622453855063213e-05,0.2630528484005481,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.015625,0.109375,0.008963952098439525,0.0010360479015604726,0.01,305.31998901022416,280409.3392646628,-23.473387854459705,2.696677671725955e-09,1.0032088019681917e-08,5.37116475811672e-05,0.3039481014129706,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.125,0.008824980313338185,0.0011750196866618125,0.01,306.0683245163053,284632.37808019086,-23.473387854459705,2.671977278109298e-09,1.1287492230824259e-08,6.113080826253281e-05,0.3440250171115622,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.140625,0.008688163064187302,0.0013118369358126965,0.01,306.81352218910007,288814.70631462993,-23.473387854459705,2.6473826756538685e-09,1.2501558869712492e-08,6.847991267022735e-05,0.3832921010325663,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.015625,0.15625,0.008553466948342168,0.0014465330516578298,0.01,307.55551133777396,292956.6069226217,-23.473387854459705,2.6228584395237895e-09,1.367526794235352e-08,7.575691051897593e-05,0.42175772006157786,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.015625,0.171875,0.008420859081012828,0.001579140918987169,0.01,308.2942226587515,297058.3592738053,-23.473387854459705,2.5984117143281674e-09,1.4809579004099183e-08,8.295981035644218e-05,0.4594301109900698,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.1875,0.008290307087235563,0.0017096929127644344,0.01,309.0295882560111,301120.23933257477,-23.473387854459705,2.5740299124153503e-09,1.5905431558632666e-08,9.008668018850585e-05,0.4963173891301267,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.015625,0.203125,0.008161779093968846,0.0018382209060311522,0.01,309.7615416601616,305142.5198323515,-23.473387854459705,2.5497908152446066e-09,1.6963745448281276e-08,9.71356485592878e-05,0.5324275570455939,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.015625,0.21875,0.00803524372231184,0.0019647562776881587,0.01,310.49001784629735,309125.47044439154,-23.473387854459705,2.52558776113046e-09,1.798542123218616e-08,0.00010410490534695782,0.5677685124101117,0.0,1.734723475976807e-18,0.0,0.0,0.0
