scenario_id,tau,cell_index,xi_left,xi_right,u,v,f
R01,1.4000000000000001,10,0.66666666666666663,0.73333333333333328,0.46421107721981003,0.53578892278019019,0.45476825859269532
R01,1.4000000000000001,11,0.73333333333333328,0.80000000000000004,0.48438404928942047,0.51561595071057975,0.44524200300632255
R01,1.4000000000000001,12,0.80000000000000004,0.8666666666666667,0.50659688625590094,0.49340311374409929,0.4347661939534937
R01,1.4000000000000001,13,0.8666666666666667,0.93333333333333335,0.53088973078149893,0.46911026921850124,0.4233365317689502
R01,1.4000000000000001,14,0.93333333333333335,1,0.55730011076012742,0.44269988923987286,0.41095574434053139
R01,1.5,0,0,0.066666666666666666,0.36928671282033343,0.63071328717966657,0.48280238713895474
R01,1.5,1,0.066666666666666666,0.13333333333333333,0.37102980726212847,0.62897019273787158,0.48193694795303788
R01,1.5,2,0.13333333333333333,0.20000000000000001,0.37452108854339328,0.62547891145660661,0.48020330645462378
R01,1.5,3,0.20000000000000001,0.26666666666666666,0.37977064520778903,0.62022935479221097,0.47759607235172363
R01,1.5,4,0.26666666666666666,0.33333333333333331,0.38679336802019926,0.61320663197980074,0.47410750147596814
R01,1.5,5,0.33333333333333331,0.40000000000000002,0.3956086556097651,0.60439134439023479,0.46972790890640537
R01,1.5,6,0.40000000000000002,0.46666666666666667,0.40624001575444668,0.59375998424555321,0.46444622511752742
R01,1.5,7,0.46666666666666667,0.53333333333333333,0.41871455747744629,0.58128544252255376,0.4582506983258523
R01,1.5,8,0.53333333333333333,0.59999999999999998,0.43306236858765801,0.5669376314123421,0.45112974524849087
R01,1.5,9,0.59999999999999998,0.66666666666666663,0.44931577323395694,0.55068422676604323,0.44307295032805838
R01,1.5,10,0.66666666666666663,0.73333333333333328,0.46750846457535922,0.53249153542464078,0.43407220987573747
R01,1.5,11,0.73333333333333328,0.80000000000000004,0.48767450891927339,0.51232549108072667,0.42412301232044902
R01,1.5,12,0.80000000000000004,0.8666666666666667,0.50984721977014891,0.4901527802298512,0.4132258386644212
R01,1.5,13,0.8666666666666667,0.93333333333333335,0.53405790327044389,0.46594209672955617,0.40138765826838874
R01,1.5,14,0.93333333333333335,1,0.56033448059051805,0.4396655194094819,0.38862348430155036
R01,1.6000000000000001,0,0,0.066666666666666666,0.37341584846299758,0.62658415153700242,0.46520654405253825
R01,1.6000000000000001,1,0.066666666666666666,0.13333333333333333,0.37516722215775034,0.62483277784224978,0.46429149970755501
R01,1.6000000000000001,2,0.13333333333333333,0.20000000000000001,0.37867443534204126,0.62132556465795874,0.46245944575415265
R01,1.6000000000000001,3,0.20000000000000001,0.26666666666666666,0.38394631849340499,0.61605368150659501,0.45970659944044734
R01,1.6000000000000001,4,0.26666666666666666,0.33333333333333331,0.39099586344150805,0.60900413655849195,0.45602765659607414
R01,1.6000000000000001,5,0.33333333333333331,0.40000000000000002,0.39983991570023819,0.60016008429976175,0.45141623678483489
R01,1.6000000000000001,6,0.40000000000000002,0.46666666666666667,0.41049875952257869,0.58950124047742114,0.44586547809026017
R01,1.6000000000000001,7,0.46666666666666667,0.53333333333333333,0.42299559220867866,0.57700440779132123,0.43936878108903876
R01,1.6000000000000001,8,0.53333333333333333,0.59999999999999998,0.43735588406475367,0.56264411593524644,0.43192069956695284
R01,1.6000000000000001,9,0.59999999999999998,0.66666666666666663,0.45360662078406921,0.5463933792159309,0.42351797229418819
